id_shop,id_product,item_name,item_status,category_id,price,price_before_discount,price_max,price_max_before_discount,price_min,price_min_before_discount,raw_discount,sold,historical_sold,stock,shop_name,Average rating score,Official Status,shop_location,Response time,Response rating,Follower
"(307369630,)","(6563602545,)","Tai Nghe Bluetooth, Tai Nghe Không Dây 5.0 Kiêm Sạc Dự Phòng S11 Chất Lượng Cao, Chống Nước IPX5, Chống ồn.",normal,"(100535,)","(49900000000,)","(0,)","(49900000000,)","(-1,)","(49900000000,)","(-1,)","(0,)","(0,)","(3265,)","(511,)",VieDigital_Tai_Nghe_Bluetooth,4.816558,False,Bắc Giang,,,5200
"(529480900,)","(12009772217,)",Tai Nghe Bluetooth TWS Pro Cho iPhone Và Android - Tai Nghe  không dây Pro Xuyên Âm - Chống Ồn ANC,normal,"(100535,)","(129500000000,)","(0,)","(129500000000,)","(-1,)","(129500000000,)","(-1,)","(0,)","(0,)","(691,)","(36,)",phukient&t,4.998415,False,Hà Nội,13163,86,13871
"(10876002,)","(9211088713,)","Thẻ nhớ 32GB, 64GB cho PSP",normal,"(100634,)","(5000000000,)","(0,)","(25000000000,)","(-1,)","(5000000000,)","(-1,)","(0,)","(2,)","(53,)","(178,)",Game3A,4.87452,False,TP. Hồ Chí Minh,1523,83,296
"(301640668,)","(5350891887,)",Bao bọc điều khiển từ xa cho tv / máy điều hòa chống bụi màu sắc đẹp mắt,normal,"(100010,)","(500000000,)","(660000000,)","(500000000,)","(660000000,)","(500000000,)","(660000000,)","(24,)","(63,)","(623,)","(12551,)",keepreallife.vn,4.935768,False,,7320,96,3825
"(210876591,)","(6365408654,)",Jack Chuyển Đổi Tai Nghe 3.5mm Sang 2 Cổng 3.5mm cáp chia audio và mic dùng cho laptop và máy tính PC( đen đỏ),normal,"(100535,)","(1900000000,)","(3000000000,)","(1900000000,)","(3000000000,)","(1900000000,)","(3000000000,)","(37,)","(59,)","(667,)","(1932,)",Phụ kiện Aha Case,4.90294,False,Hà Nội,5990,99,103768
"(26942523,)","(5240334643,)",Dây cáp đồng trục sử dụng truyền hình cáp tín hiệu anten kỹ Thuật số và vệ tinh đi hình ảnh đẹp cho camera quan sát,normal,"(100010,)","(220000000,)","(0,)","(590000000,)","(-1,)","(220000000,)","(-1,)","(0,)","(245,)","(1579,)","(29690,)",hoangthinh8,4.76299,False,TP. Hồ Chí Minh,3767,91,338
"(278247117,)","(8795700592,)",Nút bắn Pubg Blue Shark Phụ kiện chơi Game mobile trigger,normal,"(100634,)","(4500000000,)","(7150000000,)","(4500000000,)","(7150000000,)","(4500000000,)","(7150000000,)","(37,)","(1,)","(182,)","(2320,)",Phụ Kiện Pi,4.918785,False,Hà Nội,10389,87,10983
"(344549305,)","(6569722417,)",Đĩa Game PS4: List Game tổng hợp,normal,"(100634,)","(18500000000,)","(35300000000,)","(42000000000,)","(60000000000,)","(18500000000,)","(35300000000,)","(48,)","(2,)","(72,)","(36,)",RyanGaming.PS4,4.952941,False,Quảng Ninh,5687,69,298
"(27042205,)","(2785943500,)",Chân đế cao su tự dính,normal,"(100535,)","(200000000,)","(0,)","(200000000,)","(-1,)","(200000000,)","(-1,)","(0,)","(111,)","(1690,)","(695,)",Tự Làm Loa(Diy Bluetooth),4.902388,False,Hà Nội,7336,92,3850
"(315770536,)","(3790032858,)","Máy Chơi Game 628 trò nes + 20 trò mới , Chuẩn HDMI , playstation , tay cầm game , máy chơi game , ps4 , bảo hành 1 năm",normal,"(100634,)","(44900000000,)","(85900000000,)","(44900000000,)","(85900000000,)","(44900000000,)","(85900000000,)","(48,)","(4,)","(476,)","(9518,)",Camera HiTech Official,4.897004,False,Hà Nội,6181,93,3025
